T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,4.21929598E+08,79.5354,0,80.93,78.94,81,78.69,1237435200000,979665,,0,,0,0,0,0,0,false
,3.71169478E+08,77.7121,0,78.76,76.71,78.91,76.53,1237521600000,935472,,0,,0,0,0,0,0,false
,4.20262092E+08,80.1019,0,78.74,82.24,82.29,78.4,1237780800000,1120006,,0,,0,0,0,0,0,false
,3.30869532E+08,81.4843,0,81.24,80.6,82.36,80.51,1237867200000,974005,,0,,0,0,0,0,0,false
,4.42004714E+08,81.0913,0,81.23,81.45,82.7,79.06,1237953600000,1239288,,0,,0,0,0,0,0,false
,4.22039812E+08,82.4547,0,82.25,83.11,83.3,81.48,1238040000000,1100649,,0,,0,0,0,0,0,false
,3.22359748E+08,81.9552,0,82.05,81.61,82.53,81.31,1238126400000,909613,,0,,0,0,0,0,0,false
,3.24128946E+08,78.8003,0,79.8,78.79,79.87,77.96,1238385600000,925867,,0,,0,0,0,0,0,false
,3.64257412E+08,79.9106,0,79.56,79.52,81.08,79.05,1238472000000,961359,,0,,0,0,0,0,0,false
,3.77078012E+08,80.2902,0,78.53,81.06,81.42,78.33,1238558400000,985466,,0,,0,0,0,0,0,false
,4.76255742E+08,83.4966,0,83.08,83.43,84.61,82.73,1238644800000,1166925,,0,,0,0,0,0,0,false
,2.84670248E+08,83.5442,0,83.49,84.26,84.28,82.67,1238731200000,848822,,0,,0,0,0,0,0,false
,2.64889647E+08,83.067,0,83.34,83.6,84.2747,82.29,1238990400000,720563,,0,,0,0,0,0,0,false
,2.58142932E+08,82.0473,0,82.25,81.65,82.65,81.51,1239076800000,608844,,0,,0,0,0,0,0,false
,2.30413648E+08,82.2015,0,82.06,82.53,82.94,81.54,1239163200000,608040,,0,,0,0,0,0,0,false
,2.69729341E+08,84.9462,0,84.67,85.81,85.82,84.33,1239249600000,670088,,0,,0,0,0,0,0,false
,2.2487327E+08,85.5274,0,84.92,85.83,86.54,84.58,1239595200000,558581,,0,,0,0,0,0,0,false
,2.76601308E+08,84.7883,0,85.03,84.35,85.76,84.08,1239681600000,639819,,0,,0,0,0,0,0,false
,2.50738474E+08,84.4137,0,83.84,85.25,85.42,83.61,1239768000000,619995,,0,,0,0,0,0,0,false
,3.35231523E+08,85.955,0,85.93,86.5,87.15,84.77,1239854400000,694196,,0,,0,0,0,0,0,false
,2.62663339E+08,86.9415,0,86.83,87.08,87.65,86.14,1239940800000,598667,,0,,0,0,0,0,0,false
