T,v,vw,a,o,c,h,l,n,m,x,g,op,z,av,s,e,otc,Time
,421929598.0,79.5354,0,80.93,78.94,81.0,78.69,979665,,0,,0,0,0,0,0,False,2009-03-19
,371169478.0,77.7121,0,78.76,76.71,78.91,76.53,935472,,0,,0,0,0,0,0,False,2009-03-20
,420262092.0,80.1019,0,78.74,82.24,82.29,78.4,1120006,,0,,0,0,0,0,0,False,2009-03-23
,330869532.0,81.4843,0,81.24,80.6,82.36,80.51,974005,,0,,0,0,0,0,0,False,2009-03-24
,442004714.0,81.0913,0,81.23,81.45,82.7,79.06,1239288,,0,,0,0,0,0,0,False,2009-03-25
,422039812.0,82.4547,0,82.25,83.11,83.3,81.48,1100649,,0,,0,0,0,0,0,False,2009-03-26
,322359748.0,81.9552,0,82.05,81.61,82.53,81.31,909613,,0,,0,0,0,0,0,False,2009-03-27
,324128946.0,78.8003,0,79.8,78.79,79.87,77.96,925867,,0,,0,0,0,0,0,False,2009-03-30
,364257412.0,79.9106,0,79.56,79.52,81.08,79.05,961359,,0,,0,0,0,0,0,False,2009-03-31
,377078012.0,80.2902,0,78.53,81.06,81.42,78.33,985466,,0,,0,0,0,0,0,False,2009-04-01
,476255742.0,83.4966,0,83.08,83.43,84.61,82.73,1166925,,0,,0,0,0,0,0,False,2009-04-02
,284670248.0,83.5442,0,83.49,84.26,84.28,82.67,848822,,0,,0,0,0,0,0,False,2009-04-03
,264889647.0,83.067,0,83.34,83.6,84.2747,82.29,720563,,0,,0,0,0,0,0,False,2009-04-06
,258142932.0,82.0473,0,82.25,81.65,82.65,81.51,608844,,0,,0,0,0,0,0,False,2009-04-07
,230413648.0,82.2015,0,82.06,82.53,82.94,81.54,608040,,0,,0,0,0,0,0,False,2009-04-08
,269729341.0,84.9462,0,84.67,85.81,85.82,84.33,670088,,0,,0,0,0,0,0,False,2009-04-09
,224873270.0,85.5274,0,84.92,85.83,86.54,84.58,558581,,0,,0,0,0,0,0,False,2009-04-13
,276601308.0,84.7883,0,85.03,84.35,85.76,84.08,639819,,0,,0,0,0,0,0,False,2009-04-14
,250738474.0,84.4137,0,83.84,85.25,85.42,83.61,619995,,0,,0,0,0,0,0,False,2009-04-15
,335231523.0,85.955,0,85.93,86.5,87.15,84.77,694196,,0,,0,0,0,0,0,False,2009-04-16
,262663339.0,86.9415,0,86.83,87.08,87.65,86.14,598667,,0,,0,0,0,0,0,False,2009-04-17
